Sigpair	Δ cosine similarity	Δ cosine similarity (standardized)	nFact	K
Run 021_Factor 2 vs. Run 038_Factor 5	-1.3385883477409808	-2.551330403506926	12	11
Run 038_Factor 5 vs. Run 043_Factor 2	-1.3789514603009598	-2.4675608270813094	12	12
Run 008_Factor 3 vs. Run 068_Factor 6	-1.2635897531695983	-2.418503834623206	11	10
Run 006_Factor 3 vs. Run 019_Factor 6	-1.423128475825651	-2.4173735223628627	11	5
Run 021_Factor 2 vs. Run 061_Factor 5	-1.3920355422861794	-2.4063914258570356	12	9
Run 021_Factor 2 vs. Run 061_Factor 5	-1.3920355422861794	-2.3794034290689776	12	10
Run 007_Factor 5 vs. Run 020_Factor 2	-1.353791246936777	-2.311299315012134	12	7
Run 021_Factor 2 vs. Run 061_Factor 5	-1.3920355422861794	-2.3031845903375974	12	8
Run 008_Factor 3 vs. Run 019_Factor 6	-1.2898848666619056	-2.3001572686896608	11	8
Run 012_Factor 5 vs. Run 020_Factor 1	-1.287570122615422	-2.2643462593361123	10	6
Run 029_Factor 7 vs. Run 068_Factor 6	-1.1909497739006398	-2.260110877519483	11	10
Run 008_Factor 3 vs. Run 068_Factor 6	-1.2635897531695983	-2.2574747673717215	11	9
Run 019_Factor 6 vs. Run 084_Factor 7	-1.2532407699090968	-2.226909626920189	11	8
Run 006_Factor 3 vs. Run 019_Factor 6	-1.423128475825651	-2.211667077438939	11	7
Run 087_Factor 4 vs. Run 100_Factor 1	-1.411529672418249	-2.185347453799112	9	6
Run 004_Factor 3 vs. Run 043_Factor 2	-1.2442104969043302	-2.1852841462515418	12	12
Run 004_Factor 3 vs. Run 059_Factor 11	-1.2421698706492148	-2.1810091196257306	12	12
Run 059_Factor 11 vs. Run 077_Factor 3	-1.164348438550555	-2.1697179738757035	12	11
Run 008_Factor 3 vs. Run 068_Factor 6	-1.2635897531695983	-2.162606463400876	11	12
Run 041_Factor 8 vs. Run 087_Factor 4	-1.3503313361307896	-2.142625714040413	9	5
Run 007_Factor 5 vs. Run 065_Factor 1	-1.2625176105326235	-2.121366665417629	12	7
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-2.116407517368971	8	11
Run 029_Factor 7 vs. Run 068_Factor 6	-1.1909497739006398	-2.101696980310223	11	9
Run 061_Factor 5 vs. Run 065_Factor 1	-1.2449000664372682	-2.1011146065044835	12	9
Run 008_Factor 3 vs. Run 021_Factor 2	-1.2315111928518765	-2.098720025168728	11	12
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-2.0921174622416774	8	8
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-2.0852761919781426	8	10
Run 044_Factor 6 vs. Run 066_Factor 1	-1.4018892308306279	-2.071537009015428	7	6
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-2.0703596351705666	8	12
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-2.0624526079858287	8	9
Run 008_Factor 3 vs. Run 068_Factor 6	-1.2635897531695983	-2.0616812964286826	11	11
Run 006_Factor 3 vs. Run 032_Factor 2	-1.3396843905471003	-2.056026196524018	11	7
Run 038_Factor 5 vs. Run 059_Factor 11	-1.1100256843930976	-2.0507427155975844	12	11
Run 013_Factor 7 vs. Run 022_Factor 1	-1.3702922053486488	-2.0490215344240803	10	12
Run 044_Factor 6 vs. Run 066_Factor 1	-1.4018892308306279	-2.034516123492563	7	7
Run 044_Factor 6 vs. Run 066_Factor 1	-1.4018892308306279	-2.030750048283343	7	5
Run 021_Factor 2 vs. Run 029_Factor 7	-1.1942593909524173	-2.024530756151838	11	12
Run 013_Factor 7 vs. Run 022_Factor 1	-1.3702922053486488	-2.0237117477554554	10	11
Run 061_Factor 5 vs. Run 073_Factor 11	-1.214295424838112	-2.0213803507850283	12	10
Run 029_Factor 7 vs. Run 068_Factor 6	-1.1909497739006398	-2.0179394489592384	11	12
Run 061_Factor 5 vs. Run 065_Factor 1	-1.2449000664372682	-2.006783351183784	12	8
Run 008_Factor 3 vs. Run 021_Factor 2	-1.2315111928518765	-1.9982089545386015	11	11
Run 040_Factor 2 vs. Run 100_Factor 7	-1.3806321830584376	-1.988118704287234	8	7
Run 003_Factor 1 vs. Run 044_Factor 6	-1.3787857036939055	-1.982117140925453	7	12
Run 035_Factor 1 vs. Run 044_Factor 6	-1.3775713354978307	-1.9798960883193522	7	12
Run 061_Factor 5 vs. Run 065_Factor 1	-1.2449000664372682	-1.9786042834748365	12	6
Run 023_Factor 1 vs. Run 044_Factor 6	-1.360054680175192	-1.9640226061971997	7	11
